"Town","FIPS","Year","Social Security Status","Measure Type","Variable","Value"
"Andover","0901301080","2006-2010","Total","Number","Margins of Error",76
"Andover","0901301080","2006-2010","Total","Number","Social Security Status",1276
"Andover","0901301080","2006-2010","Without SSI","Number","Margins of Error",79
"Andover","0901301080","2006-2010","Without SSI","Number","Social Security Status",1010
"Andover","0901301080","2006-2010","Without SSI","Percent","Margins of Error",7.8
"Andover","0901301080","2006-2010","Without SSI","Percent","Social Security Status",79.2
"Andover","0901301080","2006-2010","With SSI","Number","Margins of Error",59
"Andover","0901301080","2006-2010","With SSI","Number","Social Security Status",266
"Andover","0901301080","2006-2010","With SSI","Percent","Margins of Error",4.8
"Andover","0901301080","2006-2010","With SSI","Percent","Social Security Status",20.8
"Andover","0901301080","2007-2011","Total","Number","Margins of Error",92
"Andover","0901301080","2007-2011","Total","Number","Social Security Status",1203
"Andover","0901301080","2007-2011","Without SSI","Number","Margins of Error",99
"Andover","0901301080","2007-2011","Without SSI","Number","Social Security Status",945
"Andover","0901301080","2007-2011","Without SSI","Percent","Margins of Error",10.2
"Andover","0901301080","2007-2011","Without SSI","Percent","Social Security Status",78.6
"Andover","0901301080","2007-2011","With SSI","Number","Margins of Error",52
"Andover","0901301080","2007-2011","With SSI","Number","Social Security Status",258
"Andover","0901301080","2007-2011","With SSI","Percent","Margins of Error",4.6
"Andover","0901301080","2007-2011","With SSI","Percent","Social Security Status",21.4
"Andover","0901301080","2008-2012","Total","Number","Margins of Error",83
"Andover","0901301080","2008-2012","Total","Number","Social Security Status",1135
"Andover","0901301080","2008-2012","Without SSI","Number","Margins of Error",74
"Andover","0901301080","2008-2012","Without SSI","Number","Social Security Status",880
"Andover","0901301080","2008-2012","Without SSI","Percent","Margins of Error",8.6
"Andover","0901301080","2008-2012","Without SSI","Percent","Social Security Status",77.5
"Andover","0901301080","2008-2012","With SSI","Number","Margins of Error",51
"Andover","0901301080","2008-2012","With SSI","Number","Social Security Status",255
"Andover","0901301080","2008-2012","With SSI","Percent","Margins of Error",4.8
"Andover","0901301080","2008-2012","With SSI","Percent","Social Security Status",22.5
"Andover","0901301080","2009-2013","Total","Number","Margins of Error",78
"Andover","0901301080","2009-2013","Total","Number","Social Security Status",1104
"Andover","0901301080","2009-2013","Without SSI","Number","Margins of Error",82
"Andover","0901301080","2009-2013","Without SSI","Number","Social Security Status",799
"Andover","0901301080","2009-2013","Without SSI","Percent","Margins of Error",9
"Andover","0901301080","2009-2013","Without SSI","Percent","Social Security Status",72.4
"Andover","0901301080","2009-2013","With SSI","Number","Margins of Error",55
"Andover","0901301080","2009-2013","With SSI","Number","Social Security Status",305
"Andover","0901301080","2009-2013","With SSI","Percent","Margins of Error",5.4
"Andover","0901301080","2009-2013","With SSI","Percent","Social Security Status",27.6
"Andover","0901301080","2010-2014","Total","Number","Margins of Error",78
"Andover","0901301080","2010-2014","Total","Number","Social Security Status",1145
"Andover","0901301080","2010-2014","Without SSI","Number","Margins of Error",68
"Andover","0901301080","2010-2014","Without SSI","Number","Social Security Status",838
"Andover","0901301080","2010-2014","Without SSI","Percent","Margins of Error",3.2
"Andover","0901301080","2010-2014","Without SSI","Percent","Social Security Status",73.2
"Andover","0901301080","2010-2014","With SSI","Number","Margins of Error",58
