GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With Social Security income,Margin of Error; Total: - With Social Security income,Estimate; Total: - No Social Security income,Margin of Error; Total: - No Social Security income
0400000US09,09,Connecticut,1359218,2943,384133,2184,975085,2955
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,123,0,123,0,123
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",6590,366,1607,198,4983,338
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",52281,862,13486,674,38795,877
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",5869,179,1548,161,4321,199
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",29552,601,7117,423,22435,671
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",6713,145,1701,146,5012,167
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2438,84,633,102,1805,96
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",19220,460,5532,295,13688,416
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",22483,443,6731,368,15752,443
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",6584,199,2003,186,4581,235
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",6767,199,1972,190,4795,204
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",4729,168,1268,141,3461,160
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",8851,209,2368,218,6483,224
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",35133,662,8476,433,26657,693
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",3425,120,1075,135,2350,131
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",8592,152,2164,191,6428,220
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",14829,405,4824,295,10005,407
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",1301,80,445,81,856,112
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",46396,815,10613,511,35783,795
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",19638,473,6587,406,13051,439
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",11825,435,4247,261,7578,365
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",3270,112,728,98,2542,125
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",9302,217,2691,186,6611,244
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",5994,154,1444,126,4550,160
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",6786,182,1931,165,4855,187
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",7467,236,2301,210,5166,233
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",8696,336,3149,243,5547,297
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",24966,448,7530,418,17436,517
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",3183,126,603,118,2580,112
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",4001,132,1048,136,2953,166
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",2005,93,615,119,1390,131
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",20201,511,5864,364,14337,518
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",4442,223,1303,180,3139,215
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",16396,367,5155,305,11241,339
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",10354,322,3103,239,7251,261
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",12881,280,3412,248,9469,292
0600000US0900332640,0900332640,"Granby town, Hartford County, Connecticut",4288,135,983,99,3305,144
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",46073,855,11149,652,34924,823
0600000US0900337140,0900337140,"Hartland town, Hartford County, Connecticut",726,39,202,29,524,39
0600000US0900344700,0900344700,"Manchester town, Hartford County, Connecticut",24411,560,6406,379,18005,547
0600000US0900345820,0900345820,"Marlborough town, Hartford County, Connecticut",2138,104,432,78,1706,128
0600000US0900350440,0900350440,"New Britain town, Hartford County, Connecticut",29461,668,8291,531,21170,588
0600000US0900352140,0900352140,"Newington town, Hartford County, Connecticut",12131,345,3947,317,8184,303
0600000US0900360120,0900360120,"Plainville town, Hartford County, Connecticut",7422,307,2248,223,5174,327
0600000US0900365370,0900365370,"Rocky Hill town, Hartford County, Connecticut",8044,319,2246,250,5798,299
0600000US0900368940,0900368940,"Simsbury town, Hartford County, Connecticut",8570,193,1891,172,6679,218
0600000US0900370550,0900370550,"Southington town, Hartford County, Connecticut",16367,324,5597,329,10770,375
0600000US0900371390,0900371390,"South Windsor town, Hartford County, Connecticut",9467,237,2487,236,6980,275
0600000US0900374540,0900374540,"Suffield town, Hartford County, Connecticut",5192,165,1523,142,3669,179
0600000US0900382590,0900382590,"West Hartford town, Hartford County, Connecticut",24651,406,7053,334,17598,389
0600000US0900384900,0900384900,"Wethersfield town, Hartford County, Connecticut",11083,228,4228,225,6855,232
0600000US0900387000,0900387000,"Windsor town, Hartford County, Connecticut",10976,306,3035,207,7941,292
0600000US0900387070,0900387070,"Windsor Locks town, Hartford County, Connecticut",5247,190,1585,174,3662,198
0600000US0900502760,0900502760,"Barkhamsted town, Litchfield County, Connecticut",1407,113,331,86,1076,91
0600000US0900504930,0900504930,"Bethlehem town, Litchfield County, Connecticut",1485,80,452,89,1033,102
0600000US0900508210,0900508210,"Bridgewater town, Litchfield County, Connecticut",734,54,275,47,459,49
0600000US0900510940,0900510940,"Canaan town, Litchfield County, Connecticut",579,55,234,42,345,49
0600000US0900516050,0900516050,"Colebrook town, Litchfield County, Connecticut",554,49,174,37,380,39
0600000US0900517240,0900517240,"Cornwall town, Litchfield County, Connecticut",678,51,224,34,454,53
0600000US0900532290,0900532290,"Goshen town, Litchfield County, Connecticut",1223,86,408,78,815,93
0600000US0900537280,0900537280,"Harwinton town, Litchfield County, Connecticut",2097,93,573,73,1524,101
0600000US0900540290,0900540290,"Kent town, Litchfield County, Connecticut",1299,183,470,107,829,144
0600000US0900543370,0900543370,"Litchfield town, Litchfield County, Connecticut",3514,170,1129,139,2385,139
0600000US0900549460,0900549460,"Morris town, Litchfield County, Connecticut",983,82,313,77,670,94
0600000US0900551350,0900551350,"New Hartford town, Litchfield County, Connecticut",2601,140,737,93,1864,140
0600000US0900552630,0900552630,"New Milford town, Litchfield County, Connecticut",10659,310,2310,221,8349,324
0600000US0900553470,0900553470,"Norfolk town, Litchfield County, Connecticut",662,60,217,34,445,56
0600000US0900554030,0900554030,"North Canaan town, Litchfield County, Connecticut",1525,135,651,152,874,120
0600000US0900560750,0900560750,"Plymouth town, Litchfield County, Connecticut",4624,183,1156,166,3468,159
0600000US0900565930,0900565930,"Roxbury town, Litchfield County, Connecticut",957,71,336,81,621,76
0600000US0900566420,0900566420,"Salisbury town, Litchfield County, Connecticut",1596,196,598,124,998,146
0600000US0900567960,0900567960,"Sharon town, Litchfield County, Connecticut",1185,160,460,123,725,129
0600000US0900575730,0900575730,"Thomaston town, Litchfield County, Connecticut",3214,169,878,154,2336,143
0600000US0900576570,0900576570,"Torrington town, Litchfield County, Connecticut",15607,351,4797,320,10810,354
0600000US0900579510,0900579510,"Warren town, Litchfield County, Connecticut",580,54,154,33,426,50
0600000US0900579720,0900579720,"Washington town, Litchfield County, Connecticut",1667,118,684,134,983,130
0600000US0900580490,0900580490,"Watertown town, Litchfield County, Connecticut",8528,245,2791,231,5737,283
0600000US0900586440,0900586440,"Winchester town, Litchfield County, Connecticut",4514,234,1428,228,3086,234
0600000US0900587910,0900587910,"Woodbury town, Litchfield County, Connecticut",4216,160,1312,166,2904,179
0600000US0900700000,0900700000,"County subdivisions not defined, Middlesex County, Connecticut",0,123,0,123,0,123
0600000US0900714300,0900714300,"Chester town, Middlesex County, Connecticut",1620,125,456,93,1164,114
0600000US0900715350,0900715350,"Clinton town, Middlesex County, Connecticut",5434,142,1650,158,3784,186
0600000US0900718080,0900718080,"Cromwell town, Middlesex County, Connecticut",5449,276,1453,189,3996,239
0600000US0900719130,0900719130,"Deep River town, Middlesex County, Connecticut",1893,109,543,101,1350,104
